trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3897,False,"{'a': 0.9, 'e': 0.020263180668224245}",25,18,15.002187952223832,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3898,False,"{'a': 0.9, 'e': 0.020242917487556022}",25,17,16.148778622790786,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3899,False,"{'a': 0.9, 'e': 0.020222674570068464}",20,10,19.95102563331601,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3900,False,"{'a': 0.9, 'e': 0.020202451895498397}",20,13,3.105266861292174,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
3901,False,"{'a': 0.9, 'e': 0.020182249443602897}",25,-7,21.790611775331758,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 1}",0
3902,False,"{'a': 0.9, 'e': 0.020162067194159295}",20,13,17.68077756584057,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3903,False,"{'a': 0.9, 'e': 0.020141905126965134}",25,14,20.462335637305593,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3904,False,"{'a': 0.9, 'e': 0.02012176322183817}",20,16,6.7596530130278545,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3905,False,"{'a': 0.9, 'e': 0.020101641458616332}",20,10,18.806357894409974,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3906,False,"{'a': 0.9, 'e': 0.020081539817157715}",25,20,10.150609056478434,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3907,False,"{'a': 0.9, 'e': 0.020061458277340558}",20,9,23.979829752967596,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3908,False,"{'a': 0.9, 'e': 0.02004139681906322}",20,16,7.899136300841243,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3909,False,"{'a': 0.9, 'e': 0.020021355422244154}",20,16,7.773273714602654,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3910,False,"{'a': 0.9, 'e': 0.02000133406682191}",30,16,24.767950678716495,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3911,False,"{'a': 0.9, 'e': 0.01998133273275509}",20,12,15.921052355800745,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
